date,quarter,kind,dir,entry,pen,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2023-03-30,2023Q1,RN1,1,4070.75,6.2,-0.05,4070.7,4063.5,4081.62,stop,-7.75,-1.069,7.25,1.5,7.25
2023-03-30,2023Q1,RN3,1,4075.75,4.38,-0.12,4075.63,4070.25,4084.0,stop,-6.0,-1.091,5.5,0.75,5.5
2023-03-30,2023Q1,RN0,1,4077.75,5.72,-0.03,4077.72,4071.0,4087.88,timeout,3.0,0.444,6.75,8.25,1.75
2023-04-05,2023Q2,RN2,1,4109.25,7.47,-0.03,4109.22,4100.75,4122.0,timeout,-3.25,-0.382,8.5,5.5,4.5
2023-04-05,2023Q2,RN4,1,4109.25,6.51,-0.99,4108.26,4100.75,4122.0,timeout,-3.25,-0.382,8.5,5.5,4.5
2023-04-05,2023Q2,RN2,1,4110.0,4.47,-0.78,4109.22,4103.75,4119.38,stop,-6.75,-1.08,6.25,4.75,7.75
2023-04-05,2023Q2,RN1,-1,4113.5,4.28,-0.47,4113.97,4119.25,4104.88,timeout,-4.0,-0.696,5.75,4.5,4.5
2023-04-06,2023Q2,RN3,1,4103.5,5.71,-1.29,4102.21,4095.5,4115.5,timeout,3.25,0.406,8.0,9.5,2.5
2023-04-06,2023Q2,RN1,-1,4108.0,4.76,-0.24,4108.24,4114.0,4099.0,timeout,-3.5,-0.583,6.0,7.0,5.5
2023-04-06,2023Q2,RN4,1,4108.0,6.24,-0.76,4107.24,4100.0,4120.0,target,12.0,1.5,8.0,13.0,0.75
2023-04-10,2023Q2,RN3,1,4104.5,5.1,-0.15,4104.35,4098.25,4113.88,timeout,6.5,1.04,6.25,9.0,2.0
2023-04-10,2023Q2,RN3,1,4105.25,5.6,-0.9,4104.35,4097.75,4116.5,timeout,4.75,0.633,7.5,7.25,6.0
2023-04-11,2023Q2,RN4,-1,4135.0,5.26,-0.74,4135.74,4142.0,4124.5,stop,-7.5,-1.071,7.0,0.5,7.0
2023-04-11,2023Q2,RN0,-1,4140.0,4.26,-0.99,4140.99,4146.25,4130.62,stop,-6.75,-1.08,6.25,2.0,6.25
2023-04-12,2023Q2,RN2,1,4120.25,5.94,-0.81,4119.44,4112.5,4131.88,eod,-0.75,-0.097,7.75,1.5,2.75
2023-04-12,2023Q2,RN4,1,4129.25,4.86,-0.14,4129.11,4123.25,4138.25,stop,-6.5,-1.083,6.0,4.25,6.0
2023-04-12,2023Q2,RN1,1,4131.75,7.01,-0.49,4131.26,4123.25,4144.5,stop,-9.0,-1.059,8.5,1.75,8.5
2023-04-14,2023Q2,RN2,-1,4152.75,6.79,-0.21,4152.96,4160.75,4140.75,stop,-8.5,-1.062,8.0,8.5,8.0
2023-04-17,2023Q2,RN2,-1,4162.0,5.95,-1.3,4163.3,4170.25,4149.62,timeout,1.0,0.121,8.25,5.5,7.0
2023-04-17,2023Q2,RN2,-1,4163.0,6.2,-0.3,4163.3,4170.5,4151.75,timeout,2.5,0.333,7.5,6.5,6.25
2023-04-18,2023Q2,RN0,1,4173.5,7.04,-0.46,4173.04,4165.0,4186.25,stop,-9.0,-1.059,8.5,1.75,8.5
2023-04-18,2023Q2,RN3,1,4180.75,4.27,-0.98,4179.77,4174.5,4190.12,stop,-6.75,-1.08,6.25,0.75,6.5
2023-04-19,2023Q2,RN0,-1,4166.75,5.4,-0.1,4166.85,4173.25,4157.0,stop,-7.0,-1.077,6.5,1.0,6.5
2023-04-19,2023Q2,RN3,-1,4176.0,4.58,-0.42,4176.42,4182.0,4167.0,stop,-6.5,-1.083,6.0,1.25,6.0
2023-04-20,2023Q2,RN3,-1,4150.5,6.51,-0.24,4150.74,4158.25,4138.88,stop,-8.25,-1.065,7.75,3.0,7.75
2023-04-20,2023Q2,RN3,1,4151.0,5.24,-0.26,4150.74,4144.5,4160.75,stop,-7.0,-1.077,6.5,1.75,6.5
2023-04-20,2023Q2,RN1,-1,4157.25,5.29,-0.46,4157.71,4164.0,4147.12,timeout,1.75,0.259,6.75,5.0,3.25
2023-04-21,2023Q2,RN3,1,4144.25,6.1,-0.4,4143.85,4136.75,4155.5,target,11.25,1.5,7.5,11.25,0.75
2023-04-21,2023Q2,RN4,1,4147.25,4.84,-0.66,4146.59,4140.75,4157.0,timeout,2.5,0.385,6.5,6.75,1.0
2023-04-21,2023Q2,RN0,1,4153.75,5.64,-0.61,4153.14,4146.5,4164.62,eod,-3.25,-0.448,7.25,0.5,4.0
2023-04-24,2023Q2,RN2,1,4145.0,5.65,-0.35,4144.65,4138.0,4155.5,timeout,4.0,0.571,7.0,5.75,0.75
2023-04-25,2023Q2,RN3,1,4108.5,6.39,-0.36,4108.14,4100.75,4120.12,stop,-8.25,-1.065,7.75,0.0,7.75
2023-04-26,2023Q2,RN0,1,4077.25,6.04,-0.21,4077.04,4070.0,4088.12,stop,-7.75,-1.069,7.25,1.25,7.25
2023-04-26,2023Q2,RN2,1,4100.75,6.23,-0.02,4100.73,4093.5,4111.62,stop,-7.75,-1.069,7.25,0.5,7.25
2023-04-27,2023Q2,RN0,-1,4108.0,6.8,-0.7,4108.7,4116.5,4095.25,stop,-9.0,-1.059,8.5,3.75,8.75
2023-04-28,2023Q2,RN4,-1,4177.5,4.87,-0.13,4177.63,4183.5,4168.5,stop,-6.5,-1.083,6.0,1.75,6.0
2023-05-02,2023Q2,RN1,1,4115.5,4.89,-0.11,4115.39,4109.5,4124.5,target,9.0,1.5,6.0,9.0,3.75
2023-05-02,2023Q2,RN0,1,4117.0,6.3,-0.2,4116.8,4109.5,4128.25,target,11.25,1.5,7.5,11.25,4.25
2023-05-03,2023Q2,RN0,1,4137.75,4.3,-0.7,4137.05,4131.75,4146.75,stop,-6.5,-1.083,6.0,2.5,6.0
2023-05-03,2023Q2,RN2,-1,4147.75,5.07,-1.68,4149.43,4155.5,4136.12,target,11.62,1.5,7.75,11.75,2.25
2023-05-03,2023Q2,RN2,-1,4149.25,4.32,-0.18,4149.43,4154.75,4141.0,stop,-6.0,-1.091,5.5,7.25,12.0
2023-05-03,2023Q2,RN3,-1,4160.0,5.64,-1.36,4161.36,4168.0,4148.0,target,12.0,1.5,8.0,12.5,2.25
2023-05-04,2023Q2,RN2,-1,4076.5,5.26,-0.99,4077.49,4083.75,4065.62,stop,-7.75,-1.069,7.25,5.75,9.75
2023-05-04,2023Q2,RN4,1,4076.5,4.7,-0.05,4076.45,4070.75,4085.12,target,8.62,1.5,5.75,8.75,5.25
2023-05-04,2023Q2,RN4,1,4076.75,4.7,-0.3,4076.45,4070.75,4085.75,target,9.0,1.5,6.0,9.25,3.25
2023-05-04,2023Q2,RN2,1,4077.75,6.24,-0.26,4077.49,4070.25,4089.0,eod,-1.25,-0.167,7.5,10.5,6.75
2023-05-04,2023Q2,RN4,1,4077.75,5.45,-1.3,4076.45,4070.0,4089.38,eod,-1.25,-0.161,7.75,10.5,2.5
2023-05-04,2023Q2,RN1,1,4079.5,4.26,-1.49,4078.01,4072.75,4089.62,stop,-7.25,-1.074,6.75,7.5,6.75
2023-05-05,2023Q2,RN3,-1,4157.0,6.16,-0.09,4157.09,4164.25,4146.12,eod,2.5,0.345,7.25,4.0,4.0
2023-05-08,2023Q2,RN0,-1,4147.75,6.41,-0.59,4148.34,4155.75,4135.75,stop,-8.5,-1.062,8.0,10.25,8.0
2023-05-08,2023Q2,RN0,1,4148.5,5.09,-0.16,4148.34,4142.25,4157.88,timeout,-2.25,-0.36,6.25,4.0,3.0
2023-05-08,2023Q2,RN0,1,4149.0,4.59,-0.66,4148.34,4142.75,4158.38,stop,-6.75,-1.08,6.25,1.0,6.25
2023-05-08,2023Q2,RN4,1,4154.25,4.9,-0.1,4154.15,4148.25,4163.25,eod,0.0,0.0,6.0,1.0,0.5
2023-05-08,2023Q2,RN2,1,4154.75,5.12,-0.38,4154.37,4148.25,4164.5,eod,-0.5,-0.077,6.5,0.5,1.0
2023-05-09,2023Q2,RN3,-1,4134.5,5.27,-1.23,4135.73,4142.0,4123.25,timeout,0.75,0.1,7.5,1.5,7.25
2023-05-09,2023Q2,RN3,-1,4135.25,7.02,-0.48,4135.73,4143.75,4122.5,timeout,-3.75,-0.441,8.5,2.5,5.75
2023-05-09,2023Q2,RN3,-1,4135.5,6.02,-0.23,4135.73,4142.75,4124.62,timeout,-1.25,-0.172,7.25,3.0,2.0
2023-05-10,2023Q2,RN4,1,4134.25,6.85,-0.4,4133.85,4126.0,4146.62,target,12.38,1.5,8.25,13.5,5.25
2023-05-10,2023Q2,RN4,1,4135.5,4.85,-1.65,4133.85,4128.0,4146.75,target,11.25,1.5,7.5,12.25,2.75
2023-05-11,2023Q2,RN0,-1,4141.5,4.44,-0.81,4142.31,4147.75,4132.12,eod,1.5,0.24,6.25,5.0,4.0
2023-05-12,2023Q2,RN0,1,4117.75,5.76,-0.24,4117.51,4110.75,4128.25,timeout,5.0,0.714,7.0,6.0,6.0
2023-05-16,2023Q2,RN2,1,4138.0,4.74,-0.01,4137.99,4132.25,4146.62,stop,-6.25,-1.087,5.75,3.5,5.75
2023-05-16,2023Q2,RN0,1,4138.75,4.88,-0.12,4138.63,4132.75,4147.75,stop,-6.5,-1.083,6.0,1.25,6.25
2023-05-16,2023Q2,RN2,1,4139.5,5.74,-1.51,4137.99,4131.25,4151.88,stop,-8.75,-1.061,8.25,0.5,8.25
2023-05-17,2023Q2,RN0,1,4131.0,5.13,-0.12,4130.88,4124.75,4140.38,target,9.38,1.5,6.25,9.5,1.25
2023-05-17,2023Q2,RN4,1,4136.5,4.41,-0.34,4136.16,4130.75,4145.12,target,8.62,1.5,5.75,9.0,0.0
2023-05-18,2023Q2,RN4,1,4187.0,4.88,-0.12,4186.88,4181.0,4196.0,stop,-6.5,-1.083,6.0,1.0,6.0
2023-05-18,2023Q2,RN1,-1,4193.0,4.78,-0.97,4193.97,4199.75,4182.88,stop,-7.25,-1.074,6.75,0.25,6.75
2023-05-19,2023Q2,RN1,1,4213.25,5.31,-0.94,4212.31,4206.0,4224.12,stop,-7.75,-1.069,7.25,3.75,7.5
2023-05-19,2023Q2,RN4,1,4213.25,6.11,-0.14,4213.11,4206.0,4224.12,stop,-7.75,-1.069,7.25,3.75,7.5
2023-05-19,2023Q2,RN1,1,4213.5,5.56,-1.19,4212.31,4205.75,4225.12,stop,-8.25,-1.065,7.75,3.5,7.75
2023-05-19,2023Q2,RN4,1,4213.5,6.36,-0.39,4213.11,4205.75,4225.12,stop,-8.25,-1.065,7.75,3.5,7.75
2023-05-19,2023Q2,RN2,-1,4219.25,5.92,-0.58,4219.83,4226.75,4208.0,timeout,-4.0,-0.533,7.5,2.25,6.5
2023-05-19,2023Q2,RN2,-1,4219.75,5.92,-0.08,4219.83,4226.75,4209.25,target,10.5,1.5,7.0,10.5,4.25
2023-05-22,2023Q2,RN1,-1,4206.0,4.74,-1.01,4207.01,4212.75,4195.88,stop,-7.25,-1.074,6.75,8.0,6.75
2023-05-22,2023Q2,RN1,-1,4206.75,5.74,-0.26,4207.01,4213.75,4196.25,timeout,-0.0,-0.0,7.0,2.25,6.0
2023-05-22,2023Q2,RN4,-1,4212.5,4.29,-0.71,4213.21,4218.5,4203.5,eod,7.0,1.167,6.0,8.75,2.0
2023-05-22,2023Q2,RN4,-1,4212.75,7.04,-0.46,4213.21,4221.25,4200.0,eod,7.25,0.853,8.5,9.0,4.75
2023-05-23,2023Q2,RN2,-1,4190.0,4.7,-2.3,4192.3,4198.0,4178.0,timeout,-4.75,-0.594,8.0,2.0,7.25
2023-05-23,2023Q2,RN2,-1,4192.25,6.2,-0.05,4192.3,4199.5,4181.38,timeout,-0.5,-0.069,7.25,5.75,4.75
2023-05-24,2023Q2,RN1,-1,4132.5,6.47,-0.03,4132.53,4140.0,4121.25,stop,-8.0,-1.067,7.5,0.5,7.5
2023-05-24,2023Q2,RN3,-1,4138.5,5.05,-0.2,4138.7,4144.75,4129.12,target,9.38,1.5,6.25,9.5,1.75
2023-05-25,2023Q2,RN4,-1,4168.0,6.35,-1.15,4169.15,4176.5,4155.25,target,12.75,1.5,8.5,13.0,1.75
2023-05-26,2023Q2,RN2,-1,4205.25,4.68,-0.07,4205.32,4211.0,4196.62,target,8.62,1.5,5.75,8.75,5.5
2023-06-02,2023Q2,RN3,-1,4262.25,5.72,-0.28,4262.53,4269.25,4251.75,stop,-7.5,-1.071,7.0,4.75,7.0
2023-06-02,2023Q2,RN2,-1,4279.75,5.32,-0.68,4280.43,4286.75,4269.25,stop,-7.5,-1.071,7.0,0.5,7.0
2023-06-05,2023Q2,RN3,1,4292.25,6.43,-0.07,4292.18,4284.75,4303.5,timeout,5.5,0.733,7.5,8.5,2.75
2023-06-06,2023Q2,RN0,1,4281.75,5.42,-0.08,4281.67,4275.25,4291.5,stop,-7.0,-1.077,6.5,0.5,7.0
2023-06-06,2023Q2,RN0,1,4283.25,4.42,-1.58,4281.67,4276.25,4293.75,target,10.5,1.5,7.0,10.5,0.5
2023-06-07,2023Q2,RN0,1,4275.75,4.53,-0.22,4275.53,4270.0,4284.38,timeout,-5.25,-0.913,5.75,5.25,3.5
2023-06-07,2023Q2,RN3,1,4294.0,5.09,-0.91,4293.09,4287.0,4304.5,stop,-7.5,-1.071,7.0,1.0,7.0
2023-06-08,2023Q2,RN0,-1,4272.75,4.69,-0.06,4272.81,4278.5,4264.12,stop,-6.25,-1.087,5.75,8.25,6.25
2023-06-09,2023Q2,RN0,1,4305.25,6.18,-0.57,4304.68,4297.5,4316.88,stop,-8.25,-1.065,7.75,3.0,8.0
2023-06-12,2023Q2,RN1,-1,4380.5,5.68,-1.07,4381.57,4388.25,4368.88,stop,-8.25,-1.065,7.75,0.5,7.75
2023-06-13,2023Q2,RN1,1,4414.5,4.64,-0.36,4414.14,4408.5,4423.5,stop,-6.5,-1.083,6.0,1.25,6.0
2023-06-14,2023Q2,RN1,1,4404.0,4.94,-0.81,4403.19,4397.25,4414.12,target,10.12,1.5,6.75,10.5,2.25
2023-06-14,2023Q2,RN2,1,4414.5,6.96,-0.04,4414.46,4406.5,4426.5,target,12.0,1.5,8.0,12.5,5.0
2023-06-14,2023Q2,RN2,1,4416.25,5.21,-1.79,4414.46,4408.25,4428.25,eod,-4.75,-0.594,8.0,2.0,7.25
2023-06-14,2023Q2,RN3,-1,4427.25,4.62,-0.88,4428.13,4433.75,4417.5,target,9.75,1.5,6.5,9.75,2.5
2023-06-15,2023Q2,RN2,-1,4452.25,5.59,-0.16,4452.41,4459.0,4442.12,stop,-7.25,-1.074,6.75,5.25,7.25
2023-06-20,2023Q2,RN2,1,4433.25,4.62,-0.13,4433.12,4427.5,4441.88,stop,-6.25,-1.087,5.75,1.25,5.75
2023-06-20,2023Q2,RN4,1,4433.75,5.21,-0.04,4433.71,4427.5,4443.12,stop,-6.75,-1.08,6.25,0.75,6.25
2023-06-20,2023Q2,RN3,1,4439.75,4.65,-1.1,4438.65,4433.0,4449.88,stop,-7.25,-1.074,6.75,1.5,6.75
2023-06-21,2023Q2,RN0,1,4410.25,5.78,-0.47,4409.78,4403.0,4421.12,timeout,-3.0,-0.414,7.25,8.25,6.75
2023-06-21,2023Q2,RN2,-1,4417.5,4.64,-0.61,4418.11,4423.75,4408.12,timeout,5.75,0.92,6.25,9.0,4.5
2023-06-22,2023Q2,RN3,-1,4406.5,4.44,-1.56,4408.06,4413.5,4396.0,stop,-7.5,-1.071,7.0,1.25,7.0
2023-06-22,2023Q2,RN1,-1,4408.75,6.07,-0.43,4409.18,4416.25,4397.5,timeout,-5.5,-0.733,7.5,6.5,6.0
2023-06-22,2023Q2,RN2,-1,4410.25,5.23,-1.77,4412.02,4418.25,4398.25,timeout,-1.0,-0.125,8.0,11.75,3.25
2023-06-22,2023Q2,RN2,-1,4411.25,6.48,-0.77,4412.02,4419.5,4398.88,target,12.38,1.5,8.25,12.5,6.0
2023-06-22,2023Q2,RN2,-1,4412.0,4.98,-0.02,4412.02,4418.0,4403.0,timeout,3.0,0.5,6.0,4.75,3.25
2023-06-23,2023Q2,RN2,1,4387.25,4.56,-1.19,4386.06,4380.5,4397.38,eod,6.75,1.0,6.75,7.75,0.75
2023-06-26,2023Q2,RN3,1,4379.25,6.41,-0.09,4379.16,4371.75,4390.5,timeout,1.0,0.133,7.5,4.25,3.25
2023-06-26,2023Q2,RN3,1,4379.75,4.91,-0.59,4379.16,4373.25,4389.5,stop,-7.0,-1.077,6.5,4.0,7.0
2023-06-26,2023Q2,RN4,1,4385.5,6.37,-0.13,4385.37,4378.0,4396.75,stop,-8.0,-1.067,7.5,3.75,7.5
2023-06-26,2023Q2,RN1,-1,4395.75,5.7,-1.55,4397.3,4404.0,4383.38,target,12.38,1.5,8.25,13.25,6.5
2023-06-28,2023Q2,RN3,-1,4411.75,5.39,-1.36,4413.11,4419.5,4400.12,stop,-8.25,-1.065,7.75,2.5,7.75
2023-06-28,2023Q2,RN4,1,4412.5,5.91,-0.84,4411.66,4404.75,4424.12,timeout,-5.0,-0.645,7.75,3.5,4.75
2023-06-28,2023Q2,RN3,1,4413.25,7.36,-0.14,4413.11,4404.75,4426.0,stop,-9.0,-1.059,8.5,2.75,8.5
2023-06-29,2023Q2,RN4,-1,4421.0,5.99,-0.26,4421.26,4428.25,4410.12,stop,-7.75,-1.069,7.25,8.0,7.25
2023-07-06,2023Q3,RN0,1,4438.25,5.31,-0.44,4437.81,4431.5,4448.38,stop,-7.25,-1.074,6.75,1.75,6.75
2023-07-06,2023Q3,RN1,-1,4439.75,4.59,-0.66,4440.41,4446.0,4430.38,stop,-6.75,-1.08,6.25,0.0,6.75
2023-07-07,2023Q3,RN4,-1,4440.5,4.63,-0.37,4440.87,4446.5,4431.5,stop,-6.5,-1.083,6.0,4.5,6.0
2023-07-10,2023Q3,RN4,-1,4439.25,7.14,-0.36,4439.61,4447.75,4426.5,timeout,0.75,0.088,8.5,11.0,0.5
2023-07-12,2023Q3,RN1,-1,4511.75,4.5,-0.0,4511.75,4517.25,4503.5,stop,-6.0,-1.091,5.5,5.0,6.0
2023-07-13,2023Q3,RN3,-1,4526.5,5.48,-0.27,4526.77,4533.25,4516.38,timeout,-1.25,-0.185,6.75,1.25,6.0
2023-07-14,2023Q3,RN2,1,4539.25,5.85,-0.9,4538.35,4531.5,4550.88,eod,-3.5,-0.452,7.75,2.75,4.0
2023-07-18,2023Q3,RN1,-1,4573.75,5.63,-0.12,4573.87,4580.5,4563.62,timeout,-4.0,-0.593,6.75,4.0,3.75
2023-07-18,2023Q3,RN4,-1,4583.5,6.06,-0.44,4583.94,4591.0,4572.25,stop,-8.0,-1.067,7.5,0.25,8.0
2023-07-19,2023Q3,RN2,1,4598.25,5.88,-0.12,4598.13,4591.25,4608.75,stop,-7.5,-1.071,7.0,0.75,7.0
2023-07-19,2023Q3,RN4,-1,4602.25,6.19,-0.06,4602.31,4609.5,4591.38,target,10.88,1.5,7.25,11.0,4.5
2023-07-20,2023Q3,RN3,1,4579.5,4.5,-0.25,4579.25,4573.75,4588.12,stop,-6.25,-1.087,5.75,1.5,5.75
2023-07-21,2023Q3,RN2,1,4573.75,4.74,-0.76,4572.99,4567.25,4583.5,target,9.75,1.5,6.5,9.75,0.5
2023-07-24,2023Q3,RN0,1,4575.75,6.86,-0.14,4575.61,4567.75,4587.75,timeout,9.25,1.156,8.0,9.5,0.25
2023-07-24,2023Q3,RN4,-1,4582.75,4.26,-0.49,4583.24,4588.5,4574.12,stop,-6.25,-1.087,5.75,3.5,5.75
2023-07-24,2023Q3,RN3,-1,4586.75,5.3,-0.45,4587.2,4593.5,4576.62,target,10.12,1.5,6.75,10.25,0.25
2023-07-24,2023Q3,RN2,-1,4587.75,4.37,-0.38,4588.13,4593.5,4579.12,timeout,4.75,0.826,5.75,7.75,2.25
2023-07-25,2023Q3,RN3,-1,4586.5,5.01,-0.99,4587.49,4593.5,4576.0,timeout,-1.75,-0.25,7.0,1.5,5.25
2023-07-25,2023Q3,RN3,-1,4586.75,4.26,-0.74,4587.49,4592.75,4577.75,timeout,-5.25,-0.875,6.0,1.25,5.5
2023-07-27,2023Q3,RN1,1,4602.0,4.75,-0.5,4601.5,4595.75,4611.38,stop,-6.75,-1.08,6.25,0.5,6.25
2023-07-28,2023Q3,RN4,1,4596.25,5.37,-1.13,4595.12,4588.75,4607.5,timeout,4.25,0.567,7.5,11.0,1.0
2023-07-31,2023Q3,RN4,1,4608.5,4.37,-0.13,4608.37,4603.0,4616.75,stop,-6.0,-1.091,5.5,1.25,5.5
2023-07-31,2023Q3,RN4,1,4608.75,6.62,-0.38,4608.37,4600.75,4620.75,timeout,5.0,0.625,8.0,7.0,0.25
2023-07-31,2023Q3,RN0,-1,4613.5,4.66,-1.09,4614.59,4620.25,4603.38,target,10.12,1.5,6.75,10.25,0.25
2023-08-01,2023Q3,RN2,-1,4601.25,4.3,-0.7,4601.95,4607.25,4592.25,stop,-6.5,-1.083,6.0,0.25,6.25
2023-08-01,2023Q3,RN2,-1,4601.5,4.3,-0.45,4601.95,4607.25,4592.88,timeout,-0.75,-0.13,5.75,1.0,5.0
2023-08-02,2023Q3,RN3,1,4533.75,4.66,-1.34,4532.41,4526.75,4544.25,eod,2.0,0.286,7.0,3.75,2.5
2023-08-02,2023Q3,RN0,1,4565.0,4.98,-1.52,4563.48,4557.5,4576.25,stop,-8.0,-1.067,7.5,5.25,7.75
2023-08-04,2023Q3,RN0,1,4516.5,6.46,-0.04,4516.46,4509.0,4527.75,stop,-8.0,-1.067,7.5,1.5,7.5
2023-08-07,2023Q3,RN0,-1,4521.25,5.27,-1.23,4522.48,4528.75,4510.0,stop,-8.0,-1.067,7.5,0.75,7.5
2023-08-08,2023Q3,RN3,1,4487.5,5.4,-0.1,4487.4,4481.0,4497.25,timeout,6.5,1.0,6.5,6.0,3.0
2023-08-08,2023Q3,RN1,1,4490.5,4.83,-0.42,4490.08,4484.25,4499.88,stop,-6.75,-1.08,6.25,3.0,6.25
2023-08-08,2023Q3,RN1,1,4491.5,5.58,-1.42,4490.08,4483.5,4503.5,timeout,5.25,0.656,8.0,8.25,0.5
2023-08-09,2023Q3,RN0,1,4492.5,6.41,-0.34,4492.16,4484.75,4504.12,stop,-8.25,-1.065,7.75,0.25,7.75
2023-08-10,2023Q3,RN4,-1,4489.0,4.35,-1.9,4490.9,4496.25,4478.12,stop,-7.75,-1.069,7.25,3.5,7.5
2023-08-10,2023Q3,RN4,-1,4490.75,6.35,-0.15,4490.9,4498.25,4479.5,stop,-8.0,-1.067,7.5,5.25,7.5
2023-08-10,2023Q3,RN4,1,4491.75,5.15,-0.85,4490.9,4484.75,4502.25,stop,-7.5,-1.071,7.0,3.0,7.25
2023-08-10,2023Q3,RN1,1,4513.0,4.9,-1.6,4511.4,4505.5,4524.25,stop,-8.0,-1.067,7.5,8.5,8.0
2023-08-11,2023Q3,RN0,-1,4465.0,6.68,-0.57,4465.57,4473.25,4452.62,stop,-8.75,-1.061,8.25,4.25,8.25
2023-08-11,2023Q3,RN4,-1,4487.25,5.17,-0.58,4487.83,4494.0,4477.12,target,10.12,1.5,6.75,10.25,2.0
2023-08-11,2023Q3,RN4,-1,4487.75,5.17,-0.08,4487.83,4494.0,4478.38,target,9.38,1.5,6.25,9.5,5.25
2023-08-14,2023Q3,RN4,-1,4484.25,4.68,-0.32,4484.57,4490.25,4475.25,stop,-6.5,-1.083,6.0,0.5,6.0
2023-08-15,2023Q3,RN2,1,4453.0,4.54,-0.21,4452.79,4447.25,4461.62,stop,-6.25,-1.087,5.75,1.25,5.75
2023-08-15,2023Q3,RN0,-1,4470.75,4.35,-1.4,4472.15,4477.5,4460.62,stop,-7.25,-1.074,6.75,0.25,6.75
2023-08-15,2023Q3,RN0,-1,4471.5,5.85,-0.65,4472.15,4479.0,4460.25,timeout,7.0,0.933,7.5,9.25,1.75
2023-08-15,2023Q3,RN1,-1,4473.5,4.27,-0.23,4473.73,4479.0,4465.25,target,8.25,1.5,5.5,8.5,0.25
2023-08-16,2023Q3,RN4,1,4438.5,5.12,-0.13,4438.37,4432.25,4447.88,target,9.38,1.5,6.25,10.0,1.5
2023-08-16,2023Q3,RN4,1,4438.75,6.37,-0.38,4438.37,4431.0,4450.38,target,11.62,1.5,7.75,12.0,1.0
2023-08-16,2023Q3,RN2,-1,4442.5,6.28,-0.97,4443.47,4450.75,4430.12,stop,-8.75,-1.061,8.25,10.5,8.25
2023-08-17,2023Q3,RN4,1,4385.75,6.99,-0.26,4385.49,4377.5,4398.12,eod,-3.0,-0.364,8.25,5.25,5.75
2023-08-18,2023Q3,RN3,-1,4359.75,6.8,-0.2,4359.95,4367.75,4347.75,stop,-8.5,-1.062,8.0,2.25,8.0
2023-08-22,2023Q3,RN1,1,4410.5,4.63,-0.87,4409.63,4404.0,4420.25,timeout,4.25,0.654,6.5,7.0,3.5
2023-08-22,2023Q3,RN2,1,4411.75,6.16,-0.59,4411.16,4404.0,4423.38,timeout,-2.0,-0.258,7.75,5.75,4.25
2023-08-22,2023Q3,RN4,1,4415.25,6.57,-0.18,4415.07,4407.5,4426.88,stop,-8.25,-1.065,7.75,0.75,7.75
2023-08-23,2023Q3,RN2,-1,4437.75,4.41,-0.09,4437.84,4443.25,4429.5,stop,-6.0,-1.091,5.5,0.5,6.0
2023-08-25,2023Q3,RN2,1,4380.5,4.81,-0.94,4379.56,4373.75,4390.62,target,10.12,1.5,6.75,11.0,5.0
2023-08-25,2023Q3,RN4,1,4381.25,4.85,-0.9,4380.35,4374.5,4391.38,target,10.12,1.5,6.75,10.25,0.0
2023-08-25,2023Q3,RN3,-1,4395.75,6.95,-0.55,4396.3,4404.25,4383.0,target,12.75,1.5,8.5,12.75,3.75
2023-08-25,2023Q3,RN3,1,4396.75,4.55,-0.45,4396.3,4390.75,4405.75,stop,-6.5,-1.083,6.0,0.0,6.0
2023-08-25,2023Q3,RN0,-1,4417.0,7.31,-0.19,4417.19,4425.5,4404.25,stop,-9.0,-1.059,8.5,4.0,8.5
2023-08-28,2023Q3,RN1,1,4432.5,4.85,-0.9,4431.6,4425.75,4442.62,stop,-7.25,-1.074,6.75,2.0,8.25
2023-08-28,2023Q3,RN2,-1,4433.25,4.46,-1.04,4434.29,4439.75,4423.5,eod,-4.75,-0.731,6.5,4.75,5.25
2023-08-29,2023Q3,RN4,-1,4449.75,6.69,-0.31,4450.06,4457.75,4437.75,stop,-8.5,-1.062,8.0,0.0,8.0
2023-08-29,2023Q3,RN1,1,4501.0,5.14,-0.36,4500.64,4494.5,4510.75,eod,6.5,1.0,6.5,7.5,1.0
2023-08-31,2023Q3,RN2,1,4520.75,5.33,-0.42,4520.33,4514.0,4530.88,timeout,5.25,0.778,6.75,9.5,1.75
2023-09-01,2023Q3,RN0,1,4531.75,4.99,-0.01,4531.74,4525.75,4540.75,stop,-6.5,-1.083,6.0,2.75,6.0
2023-09-01,2023Q3,RN4,1,4534.0,4.28,-1.22,4532.78,4527.5,4543.75,stop,-7.0,-1.077,6.5,0.75,6.5
2023-09-05,2023Q3,RN1,1,4506.5,4.29,-0.46,4506.04,4500.75,4515.12,target,8.62,1.5,5.75,8.75,4.0
2023-09-05,2023Q3,RN0,1,4508.25,5.62,-0.13,4508.12,4501.5,4518.38,target,10.12,1.5,6.75,10.25,3.75
2023-09-05,2023Q3,RN0,1,4508.75,6.37,-0.63,4508.12,4500.75,4520.75,target,12.0,1.5,8.0,12.0,6.25
2023-09-05,2023Q3,RN0,1,4509.5,4.87,-1.38,4508.12,4502.25,4520.38,stop,-7.75,-1.069,7.25,0.25,7.25
2023-09-05,2023Q3,RN4,-1,4513.75,6.99,-0.01,4513.76,4521.75,4501.75,timeout,-0.25,-0.031,8.0,5.0,3.5
