Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2021-01-18 02:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210118T0300,16157,1,323020,120,0.04,510,0.16,-295,-0.09,120,0.00,1
1,Entry long,2021-01-17 22:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210117T2300,16151,1,323020,120,0.04,510,0.16,-295,-0.09,120,0.00,1
2,Exit short,2021-01-18 06:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210118T0700,16171.25,1,323140,-285,-0.09,190,0.06,-395,-0.12,-165,0.00,1
2,Entry short,2021-01-18 02:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210118T0300,16157,1,323140,-285,-0.09,190,0.06,-395,-0.12,-165,0.00,1
3,Exit long,2021-01-18 10:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210118T1100,16195.5,1,323425,485,0.15,605,0.19,-115,-0.04,320,0.00,1
3,Entry long,2021-01-18 06:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210118T0700,16171.25,1,323425,485,0.15,605,0.19,-115,-0.04,320,0.00,1
4,Exit short,2021-01-18 18:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210118T1500,16196.75,1,323910,-25,-0.01,345,0.11,-90,-0.03,295,0.00,1
4,Entry short,2021-01-18 10:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210118T1100,16195.5,1,323910,-25,-0.01,345,0.11,-90,-0.03,295,0.00,1
5,Exit long,2021-01-18 22:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210118T2300,16275.75,1,323935,1580,0.49,1650,0.51,-25,-0.01,1875,0.00,1
5,Entry long,2021-01-18 18:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210118T1500,16196.75,1,323935,1580,0.49,1650,0.51,-25,-0.01,1875,0.00,1
6,Exit short,2021-01-19 02:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210119T0300,16299.75,1,325515,-480,-0.15,35,0.01,-1160,-0.36,1395,0.00,1
6,Entry short,2021-01-18 22:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210118T2300,16275.75,1,325515,-480,-0.15,35,0.01,-1160,-0.36,1395,0.00,1
7,Exit long,2021-01-19 06:00,P1=NaN|P5=NaN|PH=16211.36|PD=NaN|PW=NaN|PM=NaN|T=20210119T0700,16311.25,1,325995,230,0.07,500,0.15,-150,-0.05,1625,0.00,1
7,Entry long,2021-01-19 02:00,P1=NaN|P5=NaN|PH=NaN|PD=NaN|PW=NaN|PM=NaN|T=20210119T0300,16299.75,1,325995,230,0.07,500,0.15,-150,-0.05,1625,0.00,1
8,Exit short,2021-01-19 10:00,P1=NaN|P5=NaN|PH=16236.46|PD=NaN|PW=NaN|PM=NaN|T=20210119T1100,16269.25,1,326225,840,0.26,1320,0.40,-170,-0.05,2465,0.00,1
8,Entry short,2021-01-19 06:00,P1=NaN|P5=NaN|PH=16211.36|PD=NaN|PW=NaN|PM=NaN|T=20210119T0700,16311.25,1,326225,840,0.26,1320,0.40,-170,-0.05,2465,0.00,1
9,Exit long,2021-01-19 14:00,P1=NaN|P5=NaN|PH=16246.54|PD=NaN|PW=NaN|PM=NaN|T=20210119T1500,16373.5,1,325385,2085,0.64,2140,0.66,-705,-0.22,4550,0.00,1
9,Entry long,2021-01-19 10:00,P1=NaN|P5=NaN|PH=16236.46|PD=NaN|PW=NaN|PM=NaN|T=20210119T1100,16269.25,1,325385,2085,0.64,2140,0.66,-705,-0.22,4550,0.00,1
10,Exit short,2021-01-19 18:00,P1=NaN|P5=NaN|PH=16271.74|PD=NaN|PW=NaN|PM=NaN|T=20210119T1900,16414.75,1,327470,-825,-0.25,475,0.15,-880,-0.27,3725,0.00,1
10,Entry short,2021-01-19 14:00,P1=NaN|P5=NaN|PH=16246.54|PD=NaN|PW=NaN|PM=NaN|T=20210119T1500,16373.5,1,327470,-825,-0.25,475,0.15,-880,-0.27,3725,0.00,1
11,Exit long,2021-01-19 22:00,P1=NaN|P5=NaN|PH=16299.1|PD=NaN|PW=NaN|PM=NaN|T=20210119T2300,16431.75,1,328295,340,0.10,490,0.15,-260,-0.08,4065,0.00,1
11,Entry long,2021-01-19 18:00,P1=NaN|P5=NaN|PH=16271.74|PD=NaN|PW=NaN|PM=NaN|T=20210119T1900,16414.75,1,328295,340,0.10,490,0.15,-260,-0.08,4065,0.00,1
12,Exit short,2021-01-20 02:00,P1=NaN|P5=NaN|PH=16331.34|PD=NaN|PW=NaN|PM=NaN|T=20210120T0300,16448,1,328635,-325,-0.10,510,0.16,-530,-0.16,3740,0.00,1
12,Entry short,2021-01-19 22:00,P1=NaN|P5=NaN|PH=16299.1|PD=NaN|PW=NaN|PM=NaN|T=20210119T2300,16431.75,1,328635,-325,-0.10,510,0.16,-530,-0.16,3740,0.00,1
13,Exit long,2021-01-20 06:00,P1=NaN|P5=NaN|PH=16358.19|PD=NaN|PW=NaN|PM=NaN|T=20210120T0700,16480.25,1,328960,645,0.20,725,0.22,-345,-0.10,4385,0.00,1
13,Entry long,2021-01-20 02:00,P1=NaN|P5=NaN|PH=16331.34|PD=NaN|PW=NaN|PM=NaN|T=20210120T0300,16448,1,328960,645,0.20,725,0.22,-345,-0.10,4385,0.00,1
14,Exit short,2021-01-20 10:00,P1=NaN|P5=NaN|PH=16386.56|PD=NaN|PW=NaN|PM=NaN|T=20210120T1100,16549,1,329605,-1375,-0.42,305,0.09,-1990,-0.60,3010,0.00,1
14,Entry short,2021-01-20 06:00,P1=NaN|P5=NaN|PH=16358.19|PD=NaN|PW=NaN|PM=NaN|T=20210120T0700,16480.25,1,329605,-1375,-0.42,305,0.09,-1990,-0.60,3010,0.00,1
15,Exit long,2021-01-20 14:00,P1=NaN|P5=NaN|PH=16427.51|PD=NaN|PW=NaN|PM=NaN|T=20210120T1500,16665.25,1,330980,2325,0.70,2605,0.79,-15,0.00,5335,0.01,1
15,Entry long,2021-01-20 10:00,P1=NaN|P5=NaN|PH=16386.56|PD=NaN|PW=NaN|PM=NaN|T=20210120T1100,16549,1,330980,2325,0.70,2605,0.79,-15,0.00,5335,0.01,1
16,Exit short,2021-01-20 18:00,P1=NaN|P5=NaN|PH=16487.97|PD=NaN|PW=NaN|PM=NaN|T=20210120T1900,16673.25,1,333305,-160,-0.05,280,0.08,-930,-0.28,5175,0.01,1
16,Entry short,2021-01-20 14:00,P1=NaN|P5=NaN|PH=16427.51|PD=NaN|PW=NaN|PM=NaN|T=20210120T1500,16665.25,1,333305,-160,-0.05,280,0.08,-930,-0.28,5175,0.01,1
17,Exit long,2021-01-20 22:00,P1=NaN|P5=NaN|PH=16526.72|PD=NaN|PW=NaN|PM=NaN|T=20210120T2300,16749.75,1,333465,1530,0.46,1890,0.57,-10,0.00,6705,0.01,1
17,Entry long,2021-01-20 18:00,P1=NaN|P5=NaN|PH=16487.97|PD=NaN|PW=NaN|PM=NaN|T=20210120T1900,16673.25,1,333465,1530,0.46,1890,0.57,-10,0.00,6705,0.01,1
18,Exit short,2021-01-21 02:00,P1=NaN|P5=NaN|PH=16583.12|PD=NaN|PW=NaN|PM=NaN|T=20210121T0300,16742.75,1,334995,140,0.04,400,0.12,-540,-0.16,6845,0.01,1
18,Entry short,2021-01-20 22:00,P1=NaN|P5=NaN|PH=16526.72|PD=NaN|PW=NaN|PM=NaN|T=20210120T2300,16749.75,1,334995,140,0.04,400,0.12,-540,-0.16,6845,0.01,1
19,Exit long,2021-01-21 06:00,P1=NaN|P5=NaN|PH=16627.02|PD=NaN|PW=NaN|PM=NaN|T=20210121T0700,16736.75,1,334855,-120,-0.04,305,0.09,-460,-0.14,6725,0.01,1
19,Entry long,2021-01-21 02:00,P1=NaN|P5=NaN|PH=16583.12|PD=NaN|PW=NaN|PM=NaN|T=20210121T0300,16742.75,1,334855,-120,-0.04,305,0.09,-460,-0.14,6725,0.01,1
20,Exit short,2021-01-21 10:00,P1=NaN|P5=NaN|PH=16655.06|PD=NaN|PW=NaN|PM=NaN|T=20210121T1100,16701.75,1,334735,700,0.21,1375,0.41,-310,-0.09,7425,0.01,1
20,Entry short,2021-01-21 06:00,P1=NaN|P5=NaN|PH=16627.02|PD=NaN|PW=NaN|PM=NaN|T=20210121T0700,16736.75,1,334735,700,0.21,1375,0.41,-310,-0.09,7425,0.01,1
21,Exit long,2021-01-21 14:00,P1=NaN|P5=NaN|PH=16673.97|PD=NaN|PW=NaN|PM=NaN|T=20210121T1500,16749.75,1,334035,960,0.29,1515,0.45,-170,-0.05,8385,0.01,1
21,Entry long,2021-01-21 10:00,P1=NaN|P5=NaN|PH=16655.06|PD=NaN|PW=NaN|PM=NaN|T=20210121T1100,16701.75,1,334035,960,0.29,1515,0.45,-170,-0.05,8385,0.01,1
22,Exit short,2021-01-21 18:00,P1=NaN|P5=NaN|PH=16696.15|PD=NaN|PW=NaN|PM=NaN|T=20210121T1900,16778.75,1,334995,-580,-0.17,40,0.01,-1170,-0.35,7805,0.01,1
22,Entry short,2021-01-21 14:00,P1=NaN|P5=NaN|PH=16673.97|PD=NaN|PW=NaN|PM=NaN|T=20210121T1500,16749.75,1,334995,-580,-0.17,40,0.01,-1170,-0.35,7805,0.01,1
23,Exit long,2021-01-21 22:00,P1=NaN|P5=NaN|PH=16712.3|PD=NaN|PW=NaN|PM=NaN|T=20210121T2300,16737.5,1,335575,-825,-0.25,165,0.05,-1225,-0.37,6980,0.01,1
23,Entry long,2021-01-21 18:00,P1=NaN|P5=NaN|PH=16696.15|PD=NaN|PW=NaN|PM=NaN|T=20210121T1900,16778.75,1,335575,-825,-0.25,165,0.05,-1225,-0.37,6980,0.01,1
24,Exit short,2021-01-22 02:00,P1=NaN|P5=NaN|PH=16720.61|PD=NaN|PW=NaN|PM=NaN|T=20210122T0300,16735.75,1,334750,35,0.01,345,0.10,-220,-0.07,7015,0.01,1
24,Entry short,2021-01-21 22:00,P1=NaN|P5=NaN|PH=16712.3|PD=NaN|PW=NaN|PM=NaN|T=20210121T2300,16737.5,1,334750,35,0.01,345,0.10,-220,-0.07,7015,0.01,1
25,Exit long,2021-01-22 06:00,P1=NaN|P5=NaN|PH=16724.25|PD=NaN|PW=NaN|PM=NaN|T=20210122T0700,16704.25,1,334715,-630,-0.19,105,0.03,-795,-0.24,6385,0.01,1
25,Entry long,2021-01-22 02:00,P1=NaN|P5=NaN|PH=16720.61|PD=NaN|PW=NaN|PM=NaN|T=20210122T0300,16735.75,1,334715,-630,-0.19,105,0.03,-795,-0.24,6385,0.01,1
26,Exit short,2021-01-22 10:00,P1=NaN|P5=NaN|PH=16721.42|PD=NaN|PW=NaN|PM=NaN|T=20210122T1100,16767.75,1,334085,-1270,-0.38,385,0.12,-1410,-0.42,5115,0.01,1
26,Entry short,2021-01-22 06:00,P1=NaN|P5=NaN|PH=16724.25|PD=NaN|PW=NaN|PM=NaN|T=20210122T0700,16704.25,1,334085,-1270,-0.38,385,0.12,-1410,-0.42,5115,0.01,1
27,Exit long,2021-01-22 14:00,P1=NaN|P5=NaN|PH=16723.69|PD=NaN|PW=NaN|PM=NaN|T=20210122T1500,16742.75,1,335355,-500,-0.15,175,0.05,-1200,-0.36,4615,0.00,1
27,Entry long,2021-01-22 10:00,P1=NaN|P5=NaN|PH=16721.42|PD=NaN|PW=NaN|PM=NaN|T=20210122T1100,16767.75,1,335355,-500,-0.15,175,0.05,-1200,-0.36,4615,0.00,1
28,Exit short,2021-01-24 18:00,P1=NaN|P5=NaN|PH=16731.29|PD=NaN|PW=NaN|PM=NaN|T=20210122T1900,16754.75,1,334855,-240,-0.07,290,0.09,-780,-0.23,4375,0.00,1
28,Entry short,2021-01-22 14:00,P1=NaN|P5=NaN|PH=16723.69|PD=NaN|PW=NaN|PM=NaN|T=20210122T1500,16742.75,1,334855,-240,-0.07,290,0.09,-780,-0.23,4375,0.00,1
29,Exit long,2021-01-24 22:00,P1=NaN|P5=NaN|PH=16736.1|PD=NaN|PW=NaN|PM=NaN|T=20210124T2300,16845,1,335095,1805,0.54,1830,0.55,-25,-0.01,6180,0.01,1
29,Entry long,2021-01-24 18:00,P1=NaN|P5=NaN|PH=16731.29|PD=NaN|PW=NaN|PM=NaN|T=20210122T1900,16754.75,1,335095,1805,0.54,1830,0.55,-25,-0.01,6180,0.01,1
30,Exit short,2021-01-25 02:00,P1=NaN|P5=NaN|PH=16760.94|PD=NaN|PW=NaN|PM=NaN|T=20210125T0300,16844.5,1,336900,10,0.00,165,0.05,-175,-0.05,6190,0.01,1
30,Entry short,2021-01-24 22:00,P1=NaN|P5=NaN|PH=16736.1|PD=NaN|PW=NaN|PM=NaN|T=20210124T2300,16845,1,336900,10,0.00,165,0.05,-175,-0.05,6190,0.01,1
31,Exit long,2021-01-25 06:00,P1=NaN|P5=NaN|PH=16783.49|PD=NaN|PW=NaN|PM=NaN|T=20210125T0700,16875,1,336890,610,0.18,755,0.22,-145,-0.04,6800,0.01,1
31,Entry long,2021-01-25 02:00,P1=NaN|P5=NaN|PH=16760.94|PD=NaN|PW=NaN|PM=NaN|T=20210125T0300,16844.5,1,336890,610,0.18,755,0.22,-145,-0.04,6800,0.01,1
32,Exit short,2021-01-25 10:00,P1=NaN|P5=NaN|PH=16804.86|PD=NaN|PW=NaN|PM=NaN|T=20210125T1100,16923.5,1,337500,-970,-0.29,395,0.12,-1285,-0.38,5830,0.01,1
32,Entry short,2021-01-25 06:00,P1=NaN|P5=NaN|PH=16783.49|PD=NaN|PW=NaN|PM=NaN|T=20210125T0700,16875,1,337500,-970,-0.29,395,0.12,-1285,-0.38,5830,0.01,1
33,Exit long,2021-01-25 14:00,P1=NaN|P5=NaN|PH=16814.71|PD=NaN|PW=NaN|PM=NaN|T=20210125T1500,16818.75,1,338470,-2095,-0.62,240,0.07,-6995,-2.07,3735,0.00,1
33,Entry long,2021-01-25 10:00,P1=NaN|P5=NaN|PH=16804.86|PD=NaN|PW=NaN|PM=NaN|T=20210125T1100,16923.5,1,338470,-2095,-0.62,240,0.07,-6995,-2.07,3735,0.00,1
34,Exit short,2021-01-25 18:00,P1=NaN|P5=NaN|PH=16813.03|PD=NaN|PW=NaN|PM=NaN|T=20210125T1900,16844.5,1,336375,-515,-0.15,1170,0.35,-995,-0.30,3220,0.00,1
34,Entry short,2021-01-25 14:00,P1=NaN|P5=NaN|PH=16814.71|PD=NaN|PW=NaN|PM=NaN|T=20210125T1500,16818.75,1,336375,-515,-0.15,1170,0.35,-995,-0.30,3220,0.00,1
35,Exit long,2021-01-25 22:00,P1=NaN|P5=NaN|PH=16820.75|PD=NaN|PW=NaN|PM=NaN|T=20210125T2300,16817,1,336890,-550,-0.16,330,0.10,-660,-0.20,2670,0.00,1
35,Entry long,2021-01-25 18:00,P1=NaN|P5=NaN|PH=16813.03|PD=NaN|PW=NaN|PM=NaN|T=20210125T1900,16844.5,1,336890,-550,-0.16,330,0.10,-660,-0.20,2670,0.00,1
36,Exit short,2021-01-26 02:00,P1=NaN|P5=NaN|PH=16821.22|PD=NaN|PW=NaN|PM=NaN|T=20210126T0300,16773.5,1,336340,870,0.26,1040,0.31,-70,-0.02,3540,0.00,1
36,Entry short,2021-01-25 22:00,P1=NaN|P5=NaN|PH=16820.75|PD=NaN|PW=NaN|PM=NaN|T=20210125T2300,16817,1,336340,870,0.26,1040,0.31,-70,-0.02,3540,0.00,1
37,Exit long,2021-01-26 06:00,P1=NaN|P5=NaN|PH=16810.89|PD=NaN|PW=NaN|PM=NaN|T=20210126T0700,16821,1,335470,950,0.28,1360,0.41,-30,-0.01,4490,0.00,1
37,Entry long,2021-01-26 02:00,P1=NaN|P5=NaN|PH=16821.22|PD=NaN|PW=NaN|PM=NaN|T=20210126T0300,16773.5,1,335470,950,0.28,1360,0.41,-30,-0.01,4490,0.00,1
38,Exit short,2021-01-26 10:00,P1=NaN|P5=NaN|PH=16815.35|PD=NaN|PW=NaN|PM=NaN|T=20210126T1100,16862.75,1,336420,-835,-0.25,190,0.06,-1460,-0.43,3655,0.00,1
38,Entry short,2021-01-26 06:00,P1=NaN|P5=NaN|PH=16810.89|PD=NaN|PW=NaN|PM=NaN|T=20210126T0700,16821,1,336420,-835,-0.25,190,0.06,-1460,-0.43,3655,0.00,1
39,Exit long,2021-01-26 14:00,P1=NaN|P5=NaN|PH=16829.01|PD=NaN|PW=NaN|PM=NaN|T=20210126T1500,16885,1,337255,445,0.13,1100,0.33,-755,-0.22,4100,0.00,1
39,Entry long,2021-01-26 10:00,P1=NaN|P5=NaN|PH=16815.35|PD=NaN|PW=NaN|PM=NaN|T=20210126T1100,16862.75,1,337255,445,0.13,1100,0.33,-755,-0.22,4100,0.00,1
40,Exit short,2021-01-26 18:00,P1=NaN|P5=NaN|PH=16839.41|PD=NaN|PW=NaN|PM=NaN|T=20210126T1900,16935.75,1,337700,-1015,-0.30,625,0.19,-1990,-0.59,3085,0.00,1
40,Entry short,2021-01-26 14:00,P1=NaN|P5=NaN|PH=16829.01|PD=NaN|PW=NaN|PM=NaN|T=20210126T1500,16885,1,337700,-1015,-0.30,625,0.19,-1990,-0.59,3085,0.00,1
41,Exit long,2021-01-26 22:00,P1=NaN|P5=NaN|PH=16855.15|PD=NaN|PW=NaN|PM=NaN|T=20210126T2300,16930.5,1,338715,-105,-0.03,710,0.21,-285,-0.08,2980,0.00,1
41,Entry long,2021-01-26 18:00,P1=NaN|P5=NaN|PH=16839.41|PD=NaN|PW=NaN|PM=NaN|T=20210126T1900,16935.75,1,338715,-105,-0.03,710,0.21,-285,-0.08,2980,0.00,1
42,Exit short,2021-01-27 02:00,P1=NaN|P5=NaN|PH=16875.48|PD=NaN|PW=NaN|PM=NaN|T=20210127T0300,16939.75,1,338610,-185,-0.05,210,0.06,-545,-0.16,2795,0.00,1
42,Entry short,2021-01-26 22:00,P1=NaN|P5=NaN|PH=16855.15|PD=NaN|PW=NaN|PM=NaN|T=20210126T2300,16930.5,1,338610,-185,-0.05,210,0.06,-545,-0.16,2795,0.00,1
43,Exit long,2021-01-27 06:00,P1=NaN|P5=NaN|PH=16892.11|PD=NaN|PW=NaN|PM=NaN|T=20210127T0700,16910,1,338795,-595,-0.18,230,0.07,-640,-0.19,2200,0.00,1
43,Entry long,2021-01-27 02:00,P1=NaN|P5=NaN|PH=16875.48|PD=NaN|PW=NaN|PM=NaN|T=20210127T0300,16939.75,1,338795,-595,-0.18,230,0.07,-640,-0.19,2200,0.00,1
44,Exit short,2021-01-27 10:00,P1=NaN|P5=NaN|PH=16893.75|PD=NaN|PW=NaN|PM=NaN|T=20210127T1100,16665.75,1,338200,4885,1.44,7080,2.09,0,0.00,7085,0.01,1
44,Entry short,2021-01-27 06:00,P1=NaN|P5=NaN|PH=16892.11|PD=NaN|PW=NaN|PM=NaN|T=20210127T0700,16910,1,338200,4885,1.44,7080,2.09,0,0.00,7085,0.01,1
45,Exit long,2021-01-27 14:00,P1=NaN|P5=NaN|PH=16852.47|PD=NaN|PW=NaN|PM=NaN|T=20210127T1500,16652.25,1,333315,-270,-0.08,2045,0.61,-1550,-0.47,6815,0.01,1
45,Entry long,2021-01-27 10:00,P1=NaN|P5=NaN|PH=16893.75|PD=NaN|PW=NaN|PM=NaN|T=20210127T1100,16665.75,1,333315,-270,-0.08,2045,0.61,-1550,-0.47,6815,0.01,1
46,Exit short,2021-01-27 18:00,P1=NaN|P5=NaN|PH=16790.85|PD=NaN|PW=NaN|PM=NaN|T=20210127T1900,16437.25,1,333045,4300,1.29,7655,2.30,-720,-0.22,11115,0.01,1
46,Entry short,2021-01-27 14:00,P1=NaN|P5=NaN|PH=16852.47|PD=NaN|PW=NaN|PM=NaN|T=20210127T1500,16652.25,1,333045,4300,1.29,7655,2.30,-720,-0.22,11115,0.01,1
47,Exit long,2021-01-27 22:00,P1=NaN|P5=NaN|PH=16719.83|PD=NaN|PW=NaN|PM=NaN|T=20210127T2300,16445,1,328745,155,0.05,1545,0.47,-1950,-0.59,11270,0.01,1
47,Entry long,2021-01-27 18:00,P1=NaN|P5=NaN|PH=16790.85|PD=NaN|PW=NaN|PM=NaN|T=20210127T1900,16437.25,1,328745,155,0.05,1545,0.47,-1950,-0.59,11270,0.01,1
48,Exit short,2021-01-28 02:00,P1=NaN|P5=NaN|PH=16650.06|PD=NaN|PW=NaN|PM=NaN|T=20210128T0300,16406,1,328900,780,0.24,1175,0.36,-535,-0.16,12050,0.01,1
48,Entry short,2021-01-27 22:00,P1=NaN|P5=NaN|PH=16719.83|PD=NaN|PW=NaN|PM=NaN|T=20210127T2300,16445,1,328900,780,0.24,1175,0.36,-535,-0.16,12050,0.01,1
49,Exit long,2021-01-28 06:00,P1=NaN|P5=NaN|PH=16586.52|PD=NaN|PW=NaN|PM=NaN|T=20210128T0700,16345,1,328120,-1220,-0.37,365,0.11,-2300,-0.70,10830,0.01,1
49,Entry long,2021-01-28 02:00,P1=NaN|P5=NaN|PH=16650.06|PD=NaN|PW=NaN|PM=NaN|T=20210128T0300,16406,1,328120,-1220,-0.37,365,0.11,-2300,-0.70,10830,0.01,1
50,Exit short,2021-01-28 10:00,P1=NaN|P5=NaN|PH=16526.73|PD=NaN|PW=NaN|PM=NaN|T=20210128T1100,16573.75,1,326900,-4575,-1.40,370,0.11,-5770,-1.77,6255,0.01,1
50,Entry short,2021-01-28 06:00,P1=NaN|P5=NaN|PH=16586.52|PD=NaN|PW=NaN|PM=NaN|T=20210128T0700,16345,1,326900,-4575,-1.40,370,0.11,-5770,-1.77,6255,0.01,1
51,Exit long,2021-01-28 14:00,P1=NaN|P5=NaN|PH=16531.22|PD=NaN|PW=NaN|PM=NaN|T=20210128T1500,16761.5,1,331475,3755,1.13,4100,1.24,-160,-0.05,10010,0.01,1
51,Entry long,2021-01-28 10:00,P1=NaN|P5=NaN|PH=16526.73|PD=NaN|PW=NaN|PM=NaN|T=20210128T1100,16573.75,1,331475,3755,1.13,4100,1.24,-160,-0.05,10010,0.01,1
52,Exit short,2021-01-28 18:00,P1=NaN|P5=NaN|PH=16582.48|PD=NaN|PW=NaN|PM=NaN|T=20210128T1900,16540.75,1,335230,4415,1.32,5075,1.51,-170,-0.05,14425,0.01,1
52,Entry short,2021-01-28 14:00,P1=NaN|P5=NaN|PH=16531.22|PD=NaN|PW=NaN|PM=NaN|T=20210128T1500,16761.5,1,335230,4415,1.32,5075,1.51,-170,-0.05,14425,0.01,1
53,Exit long,2021-01-28 22:00,P1=NaN|P5=NaN|PH=16574.23|PD=NaN|PW=NaN|PM=NaN|T=20210128T2300,16456.25,1,330815,-1690,-0.51,640,0.19,-2000,-0.60,12735,0.01,1
53,Entry long,2021-01-28 18:00,P1=NaN|P5=NaN|PH=16582.48|PD=NaN|PW=NaN|PM=NaN|T=20210128T1900,16540.75,1,330815,-1690,-0.51,640,0.19,-2000,-0.60,12735,0.01,1
54,Exit short,2021-01-29 02:00,P1=NaN|P5=NaN|PH=16541.52|PD=NaN|PW=NaN|PM=NaN|T=20210129T0300,16444,1,329125,245,0.07,2165,0.66,-95,-0.03,12980,0.01,1
54,Entry short,2021-01-28 22:00,P1=NaN|P5=NaN|PH=16574.23|PD=NaN|PW=NaN|PM=NaN|T=20210128T2300,16456.25,1,329125,245,0.07,2165,0.66,-95,-0.03,12980,0.01,1
55,Exit long,2021-01-29 06:00,P1=NaN|P5=NaN|PH=16506.1|PD=NaN|PW=NaN|PM=NaN|T=20210129T0700,16422.75,1,328880,-425,-0.13,310,0.09,-2515,-0.76,12555,0.01,1
55,Entry long,2021-01-29 02:00,P1=NaN|P5=NaN|PH=16541.52|PD=NaN|PW=NaN|PM=NaN|T=20210129T0300,16444,1,328880,-425,-0.13,310,0.09,-2515,-0.76,12555,0.01,1
56,Exit short,2021-01-29 10:00,P1=NaN|P5=NaN|PH=16482.8|PD=NaN|PW=NaN|PM=NaN|T=20210129T1100,16468.75,1,328455,-920,-0.28,845,0.26,-2580,-0.79,11635,0.01,1
56,Entry short,2021-01-29 06:00,P1=NaN|P5=NaN|PH=16506.1|PD=NaN|PW=NaN|PM=NaN|T=20210129T0700,16422.75,1,328455,-920,-0.28,845,0.26,-2580,-0.79,11635,0.01,1
57,Exit long,2021-01-29 14:00,P1=NaN|P5=NaN|PH=16481.23|PD=NaN|PW=NaN|PM=NaN|T=20210129T1500,16273.25,1,329375,-3910,-1.19,1465,0.44,-5100,-1.55,7725,0.01,1
57,Entry long,2021-01-29 10:00,P1=NaN|P5=NaN|PH=16482.8|PD=NaN|PW=NaN|PM=NaN|T=20210129T1100,16468.75,1,329375,-3910,-1.19,1465,0.44,-5100,-1.55,7725,0.01,1
58,Exit short,2021-01-31 18:00,P1=NaN|P5=NaN|PH=16435.69|PD=NaN|PW=NaN|PM=NaN|T=20210129T1900,16233.75,1,325465,790,0.24,790,0.24,-2650,-0.81,8515,0.01,1
58,Entry short,2021-01-29 14:00,P1=NaN|P5=NaN|PH=16481.23|PD=NaN|PW=NaN|PM=NaN|T=20210129T1500,16273.25,1,325465,790,0.24,790,0.24,-2650,-0.81,8515,0.01,1
59,Exit long,2021-01-31 22:00,P1=NaN|P5=NaN|PH=16396.96|PD=NaN|PW=NaN|PM=NaN|T=20210131T2300,16266,1,324675,645,0.20,940,0.29,-2435,-0.75,9160,0.01,1
59,Entry long,2021-01-31 18:00,P1=NaN|P5=NaN|PH=16435.69|PD=NaN|PW=NaN|PM=NaN|T=20210129T1900,16233.75,1,324675,645,0.20,940,0.29,-2435,-0.75,9160,0.01,1
60,Exit short,2021-02-01 02:00,P1=NaN|P5=NaN|PH=16362.18|PD=NaN|PW=NaN|PM=NaN|T=20210201T0300,16350.5,1,325320,-1690,-0.52,175,0.05,-2030,-0.62,7470,0.01,1
60,Entry short,2021-01-31 22:00,P1=NaN|P5=NaN|PH=16396.96|PD=NaN|PW=NaN|PM=NaN|T=20210131T2300,16266,1,325320,-1690,-0.52,175,0.05,-2030,-0.62,7470,0.01,1
61,Exit long,2021-02-01 06:00,P1=NaN|P5=NaN|PH=16362.71|PD=NaN|PW=NaN|PM=NaN|T=20210201T0700,16422,1,327010,1430,0.44,1925,0.59,-690,-0.21,8900,0.01,1
61,Entry long,2021-02-01 02:00,P1=NaN|P5=NaN|PH=16362.18|PD=NaN|PW=NaN|PM=NaN|T=20210201T0300,16350.5,1,327010,1430,0.44,1925,0.59,-690,-0.21,8900,0.01,1
62,Exit short,2021-02-01 10:00,P1=NaN|P5=NaN|PH=16378.31|PD=NaN|PW=NaN|PM=NaN|T=20210201T1100,16404,1,328440,360,0.11,1340,0.41,-1335,-0.41,9260,0.01,1
62,Entry short,2021-02-01 06:00,P1=NaN|P5=NaN|PH=16362.71|PD=NaN|PW=NaN|PM=NaN|T=20210201T0700,16422,1,328440,360,0.11,1340,0.41,-1335,-0.41,9260,0.01,1
63,Exit long,2021-02-01 14:00,P1=NaN|P5=NaN|PH=16391.95|PD=NaN|PW=NaN|PM=NaN|T=20210201T1500,16646,1,328080,4840,1.48,5045,1.54,-640,-0.20,14100,0.01,1
