t_et,side,symbol,entry,exit,reason,pts,hold_min
2023-03-30 14:00:00,long,NQM3,13032.5,13061.14,target,28.44,27
2023-03-31 08:00:00,long,NQM3,13074.0,13112.31,target,38.11,31
2023-04-03 05:00:00,long,NQM3,13208.0,13221.44,target,13.24,16
2023-04-03 06:00:00,long,NQM3,13219.75,13241.8,target,21.85,217
2023-04-03 19:00:00,short,NQM3,13247.5,13290.16,stop,-42.86,620
2023-04-04 14:00:00,long,NQM3,13228.0,13188.56,stop,-39.64,32
2023-04-04 20:00:00,short,NQM3,13240.75,13226.27,target,14.28,108
2023-04-05 08:00:00,short,NQM3,13210.0,13177.42,target,32.38,85
2023-04-06 14:00:00,long,NQM3,13172.25,13184.25,timeout,11.8,1155
2023-04-12 07:45:00,short,NQM3,13084.25,13058.99,target,25.06,44
2023-04-12 12:45:00,short,NQM3,13065.75,13105.62,stop,-40.07,27
2023-04-13 16:45:00,long,NQM3,13188.0,13236.05,target,47.85,1026
2023-04-14 14:45:00,long,NQM3,13164.5,13212.13,target,47.43,3075
2023-04-17 08:45:00,long,NQM3,13170.75,13179.7,target,8.75,7
2023-04-17 09:45:00,long,NQM3,13174.25,13172.11,target,-2.34,0
2023-04-19 09:45:00,long,NQM3,13110.0,13132.48,target,22.28,55
2023-04-19 11:45:00,long,NQM3,13160.75,13177.78,target,16.83,12
2023-04-19 15:45:00,long,NQM3,13190.5,13125.48,stop,-65.22,238
2023-04-20 11:45:00,short,NQM3,13136.75,13135.38,target,1.17,4
2023-04-27 15:45:00,long,NQM3,13234.0,13262.46,target,28.26,16
2023-04-27 18:45:00,long,NQM3,13209.75,13238.77,target,28.82,886
2023-05-01 09:45:00,long,NQM3,13299.75,13314.92,target,14.97,3
2023-05-02 05:45:00,short,NQM3,13321.75,13311.82,target,9.73,13
2023-05-02 13:45:00,short,NQM3,13189.75,13255.36,stop,-65.81,1455
2023-05-03 14:45:00,short,NQM3,13245.75,13238.48,target,7.07,2
2023-05-04 13:45:00,short,NQM3,13105.5,13059.93,target,45.37,45
2023-05-04 14:45:00,long,NQM3,13059.5,13095.52,target,35.82,295
2023-05-04 19:45:00,short,NQM3,13092.5,13076.26,target,16.04,445
2023-05-05 05:45:00,long,NQM3,13122.75,13099.85,stop,-23.1,165
2023-05-08 04:45:00,long,NQM3,13309.75,13356.26,target,46.31,603
2023-05-10 10:45:00,long,NQM3,13333.5,13355.7,target,22.0,37
2023-05-12 15:45:00,short,NQM3,13384.5,13352.62,target,31.68,3187
2023-05-18 19:45:00,short,NQM3,13930.0,13879.26,target,50.54,752
2023-05-19 08:45:00,short,NQM3,13903.5,13869.46,target,33.84,78
2023-05-19 10:45:00,short,NQM3,13885.5,13853.01,target,32.29,45
2023-05-23 11:45:00,short,NQM3,13869.75,13847.61,target,21.94,21
2023-05-24 05:45:00,short,NQM3,13716.5,13711.1,target,5.2,12
2023-05-24 13:45:00,long,NQM3,13637.75,13753.23,target,115.28,156
2023-05-24 16:45:00,short,NQM3,13804.75,13895.05,stop,-90.5,741
2023-05-25 06:45:00,long,NQM3,13902.25,13913.7,target,11.25,55
2023-05-25 09:45:00,long,NQM3,13897.5,13896.79,target,-0.91,0
2023-05-30 11:45:00,short,NQM3,14458.75,14438.25,target,20.3,20
2023-05-31 06:45:00,short,NQM3,14364.25,14353.52,target,10.53,54
2023-05-31 09:45:00,short,NQM3,14384.5,14354.19,target,30.11,23
2023-05-31 13:45:00,short,NQM3,14344.0,14292.3,target,51.5,145
2023-05-31 16:45:00,short,NQM3,14292.0,14276.02,target,15.78,240
2023-06-01 04:45:00,short,NQM3,14299.0,14286.83,target,11.97,210
2023-06-02 04:45:00,long,NQM3,14519.25,14562.92,target,43.47,34
2023-06-02 08:45:00,long,NQM3,14515.5,14531.58,target,15.88,21
2023-06-08 05:45:00,long,NQM3,14343.0,14288.06,stop,-55.14,150
2023-06-08 08:45:00,long,NQM3,14353.0,14399.77,target,46.57,80
2023-06-08 10:45:00,long,NQM3,14437.5,14451.32,target,13.62,11
2023-06-08 11:45:00,long,NQM3,14490.75,14513.34,target,22.39,11
2023-06-08 12:45:00,long,NQM3,14493.0,14517.65,target,24.45,231
2023-06-08 18:45:00,short,NQM3,14511.5,14469.04,target,42.26,523
2023-06-09 06:45:00,long,NQM3,14486.5,14496.39,target,9.69,3
2023-06-12 06:45:00,long,NQM3,14610.25,14626.29,target,15.84,21
2023-06-13 07:45:00,short,NQU3,15013.75,15076.68,stop,-63.13,45
2023-06-13 11:45:00,short,NQU3,15070.75,15062.12,target,8.43,13
2023-06-13 12:45:00,short,NQU3,15089.75,15063.51,target,26.04,27
2023-06-13 13:45:00,short,NQU3,15104.5,15075.6,target,28.7,18
2023-06-13 18:45:00,short,NQU3,15115.75,15106.6,target,8.95,35
2023-06-14 09:45:00,long,NQU3,15100.25,15131.78,target,31.33,20
2023-06-14 10:45:00,short,NQU3,15167.75,15208.06,stop,-40.51,39
2023-06-14 13:45:00,short,NQU3,15129.0,15119.05,target,9.75,15
2023-06-15 10:45:00,short,NQU3,15245.25,15314.93,stop,-69.88,53
2023-06-16 06:45:00,short,NQU3,15385.5,15423.56,stop,-38.26,52
2023-06-21 14:45:00,short,NQU3,15129.0,15078.11,target,50.69,48
2023-06-22 08:45:00,long,NQU3,14999.25,15008.31,target,8.86,48
2023-06-22 09:45:00,long,NQU3,15046.25,15179.13,target,132.68,125
2023-06-22 12:45:00,long,NQU3,15132.75,15166.94,target,33.99,107
2023-06-23 07:45:00,short,NQU3,15131.0,15113.11,target,17.69,19
2023-06-26 19:45:00,long,NQU3,14886.25,14925.01,target,38.56,648
2023-06-27 16:45:00,long,NQU3,15089.5,15108.33,target,18.63,1054
2023-06-28 18:45:00,short,NQU3,15178.5,15080.88,target,97.42,887
2023-06-29 14:45:00,long,NQU3,15067.25,15082.6,target,15.15,15
2023-06-30 16:45:00,short,NQU3,15314.25,15376.54,stop,-62.49,3559
2023-07-03 10:45:00,long,NQU3,15325.25,15334.72,target,9.27,95
2023-07-03 12:45:00,short,NQU3,15346.75,15339.13,target,7.42,348
2023-07-06 12:30:00,long,NQU3,15201.0,15249.96,target,48.76,139
2023-07-06 15:30:00,long,NQU3,15237.5,15297.29,target,59.59,1024
2023-07-07 09:30:00,long,NQU3,15221.5,15186.61,stop,-35.09,64
2023-07-10 04:30:00,long,NQU3,15137.75,15173.6,target,35.65,205
2023-07-11 13:30:00,long,NQU3,15197.75,15209.32,target,11.37,86
2023-07-13 07:30:00,long,NQU3,15538.5,15568.01,target,29.31,60
2023-07-13 19:30:00,short,NQU3,15716.5,15767.19,stop,-50.89,843
2023-07-14 14:30:00,long,NQU3,15719.0,15748.43,target,29.23,4020
2023-07-17 11:30:00,long,NQU3,15781.25,15821.25,target,39.8,150
2023-07-21 04:30:00,short,NQU3,15657.0,15564.66,target,92.14,358
2023-07-21 12:30:00,long,NQU3,15573.75,15605.37,target,31.42,41
2023-07-24 11:30:00,long,NQU3,15554.75,15569.87,target,14.92,32
2023-07-24 13:30:00,long,NQU3,15557.5,15568.4,target,10.7,8
2023-07-24 15:30:00,long,NQU3,15528.25,15594.56,target,66.11,752
2023-07-25 18:30:00,long,NQU3,15635.75,15663.77,target,27.82,485
2023-07-26 05:30:00,long,NQU3,15648.5,15573.25,stop,-75.45,244
2023-07-26 11:30:00,long,NQU3,15548.75,15605.1,target,56.15,162
2023-07-27 10:30:00,short,NQU3,15769.5,15855.45,stop,-86.15,122
2023-07-27 14:30:00,short,NQU3,15614.25,15574.93,target,39.12,8
2023-07-28 15:30:00,long,NQU3,15842.75,15869.35,target,26.4,3044
2023-07-31 04:30:00,long,NQU3,15838.75,15885.3,target,46.35,251
2023-07-31 13:30:00,long,NQU3,15828.5,15884.52,target,55.82,506
2023-08-02 05:30:00,short,NQU3,15634.0,15603.43,target,30.37,247
2023-08-02 18:30:00,long,NQU3,15479.5,15493.08,target,13.38,30
2023-08-03 06:30:00,long,NQU3,15416.5,15366.58,stop,-50.12,123
2023-08-03 14:30:00,long,NQU3,15467.75,15479.03,target,11.08,13
2023-08-03 18:30:00,long,NQU3,15456.0,15470.13,target,13.93,26
2023-08-07 05:30:00,long,NQU3,15427.5,15440.13,target,12.43,10
2023-08-07 06:30:00,long,NQU3,15399.25,15426.01,target,26.56,131
2023-08-07 10:30:00,long,NQU3,15423.5,15421.8,target,-1.9,0
2023-08-09 07:30:00,short,NQU3,15365.75,15352.66,target,12.89,120
2023-08-09 13:30:00,long,NQU3,15246.25,15196.16,stop,-50.29,136
2023-08-10 12:30:00,long,NQU3,15234.25,15201.42,stop,-33.03,29
2023-08-14 10:30:00,long,NQU3,15147.0,15186.35,target,39.15,5
2023-08-17 04:30:00,short,NQU3,14967.25,14951.83,target,15.22,310
2023-08-22 09:30:00,long,NQU3,15091.25,15099.76,target,8.31,1468
2023-08-23 15:30:00,long,NQU3,15225.5,15306.25,target,80.55,51
2023-08-24 05:30:00,short,NQU3,15369.0,15310.58,target,58.22,241
2023-08-25 08:30:00,long,NQU3,14898.25,14849.8,stop,-48.65,127
2023-08-25 13:30:00,long,NQU3,14866.0,15034.35,target,168.15,3965
2023-08-28 11:30:00,long,NQU3,15013.0,15100.55,target,87.35,95
2023-08-28 14:30:00,long,NQU3,15024.25,15054.97,target,30.52,25
2023-08-28 20:30:00,long,NQU3,15095.75,15142.53,target,46.58,420
2023-08-29 04:30:00,long,NQU3,15081.75,15095.53,target,13.58,7
2023-08-29 05:30:00,long,NQU3,15088.5,15097.85,target,9.15,21
2023-08-29 06:30:00,long,NQU3,15098.25,15143.97,target,45.52,195
2023-08-29 18:30:00,short,NQU3,15439.5,15412.41,target,26.89,505
2023-08-30 04:30:00,long,NQU3,15378.75,15409.2,target,30.25,225
2023-08-30 11:30:00,long,NQU3,15461.75,15483.49,target,21.54,6
2023-08-31 05:30:00,long,NQU3,15477.25,15486.1,target,8.65,52
2023-08-31 06:30:00,long,NQU3,15489.0,15504.17,target,14.97,61
2023-09-01 05:30:00,short,NQU3,15565.25,15552.03,target,13.02,28
2023-09-01 06:30:00,short,NQU3,15560.25,15550.68,target,9.37,190
2023-09-05 12:30:00,short,NQU3,15541.5,15533.54,target,7.76,40
2023-09-05 15:30:00,short,NQU3,15550.75,15537.51,target,13.04,22
2023-09-06 07:30:00,short,NQU3,15504.25,15461.0,target,43.05,126
2023-09-06 16:30:00,long,NQU3,15387.0,15325.88,stop,-61.32,608
2023-09-12 11:30:00,short,NQZ3,15544.25,15615.28,stop,-71.23,115
2023-09-13 09:30:00,long,NQZ3,15502.25,15463.01,stop,-39.44,46
2023-09-13 10:30:00,long,NQZ3,15526.75,15580.19,target,53.24,35
2023-09-14 05:30:00,long,NQZ3,15606.0,15616.81,target,10.61,51
2023-09-18 04:30:00,long,NQZ3,15411.75,15354.85,stop,-57.1,189
2023-09-18 10:30:00,long,NQZ3,15405.75,15329.08,stop,-76.87,1381
2023-09-22 06:30:00,long,NQZ3,14922.5,14935.68,target,12.98,20
2023-09-22 13:30:00,long,NQZ3,14942.5,14892.17,stop,-50.53,42
2023-09-27 08:30:00,long,NQZ3,14739.0,14750.63,target,11.43,1
2023-09-28 05:30:00,long,NQZ3,14693.5,14736.37,target,42.67,29
2023-09-28 07:30:00,long,NQZ3,14708.25,14760.57,target,52.12,61
2023-10-02 07:30:00,long,NQZ3,14904.5,14851.66,stop,-53.04,51
2023-10-03 16:30:00,long,NQZ3,14726.5,14763.76,target,37.06,945
2023-10-04 08:30:00,long,NQZ3,14769.0,14813.42,target,44.22,68
2023-10-09 08:30:00,long,NQZ3,15014.5,14975.74,stop,-38.96,11
2023-10-10 13:30:00,short,NQZ3,15288.25,15360.28,stop,-72.23,1202
2023-10-12 15:30:00,long,NQZ3,15302.25,15270.63,stop,-31.82,818
2023-10-13 07:30:00,short,NQZ3,15273.0,15239.06,target,33.74,200
2023-10-16 09:30:00,long,NQZ3,15180.75,15213.82,target,32.87,3
